trial_id,condition,planner,success,truth_path_available,dynamic_inserted,oracle_state,predicted_state,decision_correct,latency_ms,expansions,path_length,truth_path_length,path_length_ratio,clearance_cells,collisions,perception_precision,perception_recall,perception_f1
12,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,0.518124,53,71.053824,70.468037,1.008313,1.000000,0,0.946903,0.981651,0.963964
13,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,19.611203,2801,69.882251,69.882251,1.000000,1,0,0.930693,0.955932,0.943144
13,baseline,a_star,1,1,0,SLOW,SLOW,1,1.020344,103,69.882251,69.882251,1.000000,1,0,0.930693,0.955932,0.943144
13,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,0.525720,51,69.882251,69.882251,1.000000,1,0,0.930693,0.955932,0.943144
14,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,19.720450,2821,69.882251,69.882251,1.000000,1,0,0.939716,0.953237,0.946429
14,baseline,a_star,1,1,0,SLOW,SLOW,1,1.090770,115,69.882251,69.882251,1.000000,1,0,0.939716,0.953237,0.946429
14,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,0.542655,51,69.882251,69.882251,1.000000,1,0,0.939716,0.953237,0.946429
15,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,15.307319,2814,70.468037,70.468037,1.000000,1.000000,0,0.962457,0.959184,0.960818
15,baseline,a_star,1,1,0,SLOW,SLOW,1,1.158744,144,70.468037,70.468037,1.000000,1.100000,0,0.962457,0.959184,0.960818
15,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,0.615575,53,70.468037,70.468037,1.000000,1.000000,0,0.962457,0.959184,0.960818
16,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,14.700752,2811,70.468037,70.468037,1.000000,1.000000,0,0.969697,0.953642,0.961603
16,baseline,a_star,1,1,0,SLOW,SLOW,1,0.633974,88,70.468037,70.468037,1.000000,1.000000,0,0.969697,0.953642,0.961603
16,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,0.412978,53,70.468037,70.468037,1.000000,1.000000,0,0.969697,0.953642,0.961603
17,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,16.448504,2749,70.468037,70.468037,1.000000,1.000000,0,0.966102,0.985591,0.975749
17,baseline,a_star,1,1,0,SLOW,SLOW,1,1.416164,145,70.468037,70.468037,1.000000,1.000000,0,0.966102,0.985591,0.975749
